scorer,DLC_resnet_50_10_tankJan16shuffle1_1030000,DLC_resnet_50_10_tankJan16shuffle1_1030000,DLC_resnet_50_10_tankJan16shuffle1_1030000,DLC_resnet_50_10_tankJan16shuffle1_1030000,DLC_resnet_50_10_tankJan16shuffle1_1030000,DLC_resnet_50_10_tankJan16shuffle1_1030000
bodyparts,head,head,head,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood
34,320.1726989746094,109.46924591064453,0.9999996423721313,263.2958068847656,119.39961242675781,0.9999973773956299
35,320.28802490234375,109.41606903076172,0.9999995827674866,263.217529296875,119.35479736328125,0.9999972581863403
36,320.22540283203125,109.46924591064453,0.9999997019767761,263.217529296875,119.08953857421875,0.9999983310699463
37,320.22540283203125,109.47398376464844,0.9999997019767761,263.2958068847656,119.08953857421875,0.9999983906745911
38,320.28802490234375,109.47398376464844,0.9999997019767761,263.2958068847656,119.08953857421875,0.9999983310699463
39,320.22540283203125,109.48919677734375,0.9999997019767761,263.2732238769531,119.05363464355469,0.9999985694885254
40,320.22540283203125,109.48919677734375,0.9999997019767761,263.2732238769531,119.0029296875,0.9999983310699463
41,320.20843505859375,109.47647094726562,0.9999996423721313,263.289306640625,119.0029296875,0.9999980926513672
42,320.20831298828125,109.47647094726562,0.9999997019767761,263.2840881347656,118.95726776123047,0.999998152256012
43,320.19580078125,109.47093963623047,0.9999997615814209,263.2732238769531,118.95726776123047,0.9999983906745911
44,320.1829528808594,109.4583511352539,0.9999996423721313,263.2183532714844,118.92372131347656,0.9999982118606567
45,320.1762390136719,109.43958282470703,0.9999997019767761,263.2840881347656,118.95726776123047,0.9999979138374329
46,320.1762390136719,109.43958282470703,0.9999997615814209,263.25115966796875,119.00032806396484,0.9999978542327881
47,320.1829528808594,109.47093963623047,0.9999996423721313,263.25115966796875,119.04424285888672,0.9999979734420776
48,320.1909484863281,109.43958282470703,0.9999996423721313,263.32220458984375,119.24093627929688,0.9999985694885254
49,320.22320556640625,109.47334289550781,0.9999996423721313,263.59130859375,119.3077392578125,0.9999983310699463
50,320.22320556640625,109.47334289550781,0.9999997019767761,263.59130859375,119.3077392578125,0.9999980926513672
